ORF	NAME error	K	Pho2	Pho4	Co	Pho2B	Pho4B	CoB	p.error	p.K	p.Pho2	p.Pho4	p.Co	p.Pho2B	p.Pho4B	p.CoB
YHR136C	SPL2	0.2	0.2	-0.2	1.0	4.2	0.3	0.2	-0.1	1.0E+00	9.9E-01	1.0E+00	3.3E-05	0.0E+00	9.2E-01	1.0E+00	1.0E+00
YHR138C	YHR138C	0.0	0.8	-0.1	-0.1	0.2	0.0	0.0	-0.1	1.0E+00	9.2E-07	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YHR214W-A	YHR214W-A	-0.3	0.5	0.2	-0.2	0.6	0.0	0.4	-0.3	1.0E+00	6.5E-01	1.0E+00	1.0E+00	2.4E-01	1.0E+00	9.8E-01	1.0E+00
YHR215W	PHO12	-0.2	-0.3	0.1	-0.1	4.4	0.3	0.2	0.0	1.0E+00	1.0E+00	9.8E-01	1.0E+00	0.0E+00	8.7E-01	9.5E-01	9.9E-01
YIL074C	SER33	0.1	0.4	0.1	0.0	0.5	0.1	0.0	0.0	1.0E+00	9.9E-01	1.0E+00	1.0E+00	1.9E-01	1.0E+00	1.0E+00	1.0E+00
YIL169C	YIL169C	-0.2	0.3	0.2	-0.2	0.5	-0.1	0.3	-0.3	1.0E+00	9.8E-01	1.0E+00	1.0E+00	5.4E-01	1.0E+00	1.0E+00	1.0E+00
YJL012C	VTC4	0.1	0.0	0.0	0.5	2.6	0.0	0.1	0.1	1.0E+00	1.0E+00	1.0E+00	3.6E-01	0.0E+00	1.0E+00	1.0E+00	1.0E+00
YJL012C-A	YJL012C-A	-0.1	0.0	0.1	0.6	2.5	0.1	0.0	0.1	1.0E+00	1.0E+00	1.0E+00	1.5E-01	0.0E+00	1.0E+00	1.0E+00	1.0E+00
YJL117W	PHO86	0.0	0.0	0.0	0.6	1.0	0.0	0.0	0.0	1.0E+00	1.0E+00	1.0E+00	2.7E-05	8.5E-13	1.0E+00	1.0E+00	1.0E+00
YJL119C	YJL119C	0.0	0.4	-0.1	0.4	0.8	0.2	0.2	-0.2	1.0E+00	7.9E-01	1.0E+00	8.7E-01	1.1E-02	1.0E+00	1.0E+00	1.0E+00
YJR060W	CBF1	0.0	0.1	0.0	0.1	1.0	0.1	0.1	-0.1	1.0E+00	1.0E+00	1.0E+00	1.0E+00	5.5E-12	1.0E+00	1.0E+00	1.0E+00
YKL001C	MET14	-0.1	1.0	0.3	-0.1	-0.3	0.1	0.0	0.0	1.0E+00	2.7E-13	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00	1.0E+00
YKR034W	DAL80	0.0	1.2	0.1	0.0	-0.4	0.4	-0.1	0.3	1.0E+00	9.8E-10	1.0E+00	1.0E+00	1.0E+00	7.6E-01	1.0E+00	9.7E-01
YKR080W	MTD1	0.0	0.5	0.0	-0.1	0.4	0.2	0.0	0.0	1.0E+00	6.0E-01	1.0E+00	1.0E+00	9.0E-01	1.0E+00	1.0E+00	1.0E+00
