"","N1","N2","O1","O2","P1","P2","Q1","Q2","R1","W1","W2","W3","W4"
"CAGL0C01705g",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0C01617g",0,0,1,0,0,0,0,0,1,0,0,0,0
"CAGL0C02167g",1,2,4,1,2,6,2,0,0,1,1,1,2
"CAGL0C03531g",1,3,4,1,0,4,1,0,2,1,2,7,4
"CAGL0C04048g",0,1,2,0,1,1,0,0,0,0,1,0,0
"CAGL0C00759g",1,2,5,0,1,0,1,0,0,0,0,2,0
"CAGL0C00605g",0,0,0,0,2,2,1,0,1,0,0,0,0
"CAGL0C04961g",33,44,1,3,25,18,22,5,3,1,7,191,217
"CAGL0C03575g",23,38,35,43,40,34,63,26,28,11,10,61,49
"CAGL0C00539g",4,4,8,1,3,4,2,1,1,5,8,4,7
"CAGL0C05071g",1,1,2,0,2,0,0,0,1,0,0,0,0
"CAGL0C04807g",1,0,0,2,0,1,1,1,0,0,0,0,0
"CAGL0C03135g",0,0,0,0,0,0,1,0,0,1,0,0,0
"CAGL0C04631g",0,2,0,0,1,0,1,0,0,0,0,0,0
"CAGL0C04235g",0,0,2,4,2,0,2,1,1,3,0,1,1
"CAGL0C03850g",84,112,115,89,99,83,117,43,123,50,56,37,21
"CAGL0C00253g",0,0,1,0,0,0,0,0,0,0,0,0,0
"CAGL0C00968g",2,3,2,3,2,5,0,2,0,1,0,8,4
"CAGL0C05511g",2,1,0,1,0,0,0,0,0,0,0,0,0
"CAGL0C00627g",2,0,1,0,0,3,1,0,1,0,0,2,0
"CAGL0C00407g",0,0,0,0,1,0,1,0,0,0,1,0,0
"CAGL0C04609g",9,13,2,7,6,7,23,9,12,1,2,3,3
"CAGL0C01435g",0,0,0,0,0,0,0,3,0,0,0,0,0
"CAGL0C02623g",1,0,2,3,1,0,0,0,0,2,0,2,1
"CAGL0C05291g",0,0,1,1,1,0,0,0,0,0,0,0,0
"CAGL0C01639g",4,8,14,6,2,8,19,6,18,5,8,5,5
"CAGL0D04246g",1,0,0,0,1,0,1,0,0,0,0,0,0
"CAGL0D04972g",4,1,4,4,3,9,4,4,3,3,3,1,0
"CAGL0D01232g",2,3,1,3,2,3,3,7,1,1,2,1,1
"CAGL0D06270g",1,0,2,0,2,1,0,0,3,1,0,1,0
"CAGL0D05456g",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0D02464g",0,3,0,2,1,1,1,1,1,1,0,0,0
"CAGL0D05434g",3,5,7,4,0,3,1,0,2,0,0,2,3
"CAGL0D04136g",6,4,1,2,3,9,4,1,0,1,1,35,24
"CAGL0D03762g",107,99,113,60,82,90,122,63,118,73,57,94,74
"CAGL0D05808g",2,0,1,1,1,2,2,0,1,1,0,0,0
"CAGL0D00748g",1,0,2,0,0,0,2,0,2,1,0,4,1
"CAGL0D02420g",1,0,0,0,0,0,0,1,1,0,0,2,1
"CAGL0D04620g",5,12,2,3,5,2,12,2,3,1,1,1,0
"CAGL0D05016g",4,2,7,0,3,0,3,0,2,1,0,2,0
"CAGL0D01144g",25,14,28,24,29,19,31,20,17,16,13,3,7
"CAGL0D05214g",1,0,1,1,1,1,0,0,1,0,0,0,0
