"","N1","N2","O1","O2","P1","P2","Q1","Q2","R1","W1","W2","W3","W4"
"CAGL0J09614g",3052,2156,4160,3637,3320,3700,2706,2361,3422,1476,1663,129,133
"CAGL0J00143r",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0J06732g",1372,981,1643,1238,1570,1447,1567,1018,1282,726,816,461,363
"CAGL0J10516g",910,725,1220,860,1044,968,833,571,940,435,483,517,504
"CAGL0J04312g",3109,3353,2686,1696,2698,2561,3666,2011,2463,1295,1330,3801,3467
"CAGL0J02926g",180,144,131,107,194,251,142,107,101,74,57,459,487
"CAGL0J11891g",1,0,6,3,4,3,1,0,2,3,4,2,4
"CAGL0J11792g",669,381,854,521,649,546,536,368,521,298,328,55,47
"CAGL0J06534g",2630,2163,3207,2264,2595,2329,2947,1874,2980,904,1025,844,800
"CAGL0J07128g",1793,1522,2252,1410,1661,1555,1781,965,1509,927,1089,1802,1744
"CAGL0J05742g",409,257,472,303,418,315,337,207,328,186,206,123,112
"CAGL0J10428g",842,713,533,339,475,440,733,377,464,195,181,381,347
"CAGL0J03102g",1477,1340,1847,1581,1650,2002,1712,1534,1512,919,1026,1377,1211
"CAGL0J04290g",10,15,15,9,2,7,24,11,17,5,3,36,25
"CAGL0J11748g",7593,5260,8880,6005,9833,9572,7944,5091,8532,4026,4543,1195,801
"CAGL0J07172g",275,278,238,171,247,240,255,143,204,95,124,477,467
"CAGL0J07480g",1284,1205,1277,955,1223,1159,1566,810,1310,500,510,506,420
"CAGL0J09042g",1,0,2,3,1,1,3,1,2,4,2,1,0
"CAGL0J05632g",364,298,342,214,325,304,408,219,304,187,176,461,448
"CAGL0J10164g",41956,31800,55960,47522,44004,50927,41168,30618,51987,26739,31768,734,902
"CAGL0J02310g",464,324,479,272,391,334,337,210,365,127,166,151,151
"CAGL0J01199g",962,792,1153,749,1048,1068,1118,721,887,458,485,712,637
"CAGL0J11484g",291,253,379,306,296,281,253,252,230,143,135,320,283
"CAGL0J04356g",399,313,471,390,463,497,373,245,372,230,245,246,221
"CAGL0J10670g",1776,1317,2205,1608,1833,1832,1954,1298,1807,884,975,1014,893
"CAGL0J08844g",3297,1877,4657,3207,3618,3118,2894,2400,3565,1554,1836,507,437
"CAGL0J00407g",741,652,934,540,729,692,827,440,651,284,325,796,651
"CAGL0J00319g",551,482,717,552,633,700,456,349,583,455,517,283,235
"CAGL0L10230g",690,586,725,554,670,728,641,499,511,422,447,754,726
"CAGL0L07810g",2441,1610,2497,1825,2113,2029,1537,1389,1726,1149,1281,1291,1244
"CAGL0L12232g",1172,1086,1442,1001,1152,1119,1353,771,1363,584,637,612,581
"CAGL0L06512g",13,17,14,5,16,23,13,16,2,9,5,168,214
"CAGL0L02475g",15334,12025,20786,15865,16256,19326,11165,8509,18755,11457,11913,9975,8469
"CAGL0L10956g",409,379,434,276,399,285,501,293,387,150,196,358,270
"CAGL0L00847g",2345,2217,2733,1736,2509,2176,2704,1341,2293,1273,1273,1203,1062
"CAGL0L04180g",406,386,415,242,396,348,358,225,350,197,213,291,285
"CAGL0L00407g",1120,759,1195,802,995,944,1067,714,986,487,496,320,318
"CAGL0L08932g",14666,13287,11573,8616,15891,17163,12334,6634,7715,5527,6162,32814,33225
"CAGL0L08404g",335,275,329,226,349,277,234,181,248,125,152,137,135
"CAGL0L01639g",1431,1110,1487,887,1384,1137,1240,672,1302,585,628,545,446
